id,Genero,Idade,Raça,Formação,Estado,Tempo de casa,Departamento,Senioridade,Idade Ingresso
1070,Masc,27,branco,Ensino Superior,Goiás,9.0,Vendas,Analista Júnior,18.0
1071,Masc,24,branco,Doutorado,Mato Grosso,6.0,Vendas,Analista Sênior,18.0
1072,Masc,25,pardo,Ensino Superior,São Paulo,8.0,Contabilidade,Analista Pleno,17.0
1073,Masc,49,branco,Pós graduação,Bahia,1.0,TI,Estagiário,48.0
1074,Masc,30,branco,Pós graduação,Rio Grande do Norte,5.0,Recursos Humanos,Analista Sênior,25.0
1075,Masc,23,branco,Ensino Médio,São Paulo,6.0,TI,Analista Júnior,17.0
1076,Fem,38,preto,Pós graduação,Rio de Janeiro,3.0,Recursos Humanos,Analista Sênior,35.0
1077,Fem,29,branco,Ensino Superior,Sergipe,9.0,Marketing,Gerente,20.0
1078,Fem,39,branco,Pós graduação,São Paulo,7.0,Administrativo,Estagiário,32.0
1079,Masc,28,pardo,Ensino Superior,Goiás,8.0,Desenvolvimento de Produtos,Analista Pleno,20.0
1080,Masc,38,preto,Ensino Superior,Minas Gerais,7.0,Contabilidade,Gerente,31.0
1081,Masc,19,branco,Mestrado,Distrito Federal,4.0,Vendas,Analista Sênior,15.0
1082,Fem,34,pardo,Ensino Superior,Rondônia,4.0,Contabilidade,Analista Pleno,30.0
1083,Masc,33,pardo,Ensino Superior,Distrito Federal,1.0,Administrativo,Analista Pleno,32.0
1084,Fem,40,pardo,Ensino Superior,Rio de Janeiro,4.0,Desenvolvimento de Produtos,Analista Júnior,36.0
1085,Masc,47,preto,Pós graduação,Paraná,8.0,Recursos Humanos,Analista Pleno,39.0
1086,Masc,30,branco,Ensino Superior,Mato Grosso,5.0,Contabilidade,Analista Júnior,25.0
1087,Masc,33,preto,Ensino Superior,Paraná,3.0,Desenvolvimento de Produtos,Analista Júnior,30.0
1088,Fem,35,pardo,Ensino Superior,Rio de Janeiro,3.0,Desenvolvimento de Produtos,Analista Pleno,32.0
1089,Masc,32,branco,Ensino Superior,Mato Grosso do Sul,9.0,Administrativo,Estagiário,23.0
1090,Masc,20,pardo,Ensino Superior,Paraná,3.0,Desenvolvimento de Produtos,Analista Júnior,17.0
1091,Masc,26,preto,Ensino Superior,Acre,1.0,Administrativo,Analista Pleno,25.0
1092,Masc,33,pardo,Pós graduação,Minas Gerais,4.0,Operações,Gerente,29.0
1093,Masc,38,branco,Ensino Superior,Amapá,9.0,Recursos Humanos,Gerente,29.0
1094,Masc,52,pardo,Ensino Médio,Distrito Federal,4.0,Recursos Humanos,Estagiário,48.0
1095,Masc,22,branco,Doutorado,Goiás,6.0,Vendas,Estagiário,16.0
1096,Masc,28,branco,Ensino Superior,Bahia,5.0,Marketing,Analista Júnior,23.0
1097,Masc,24,branco,Doutorado,São Paulo,3.0,Administrativo,Analista Sênior,21.0
1099,Masc,25,pardo,Pós graduação,Rio Grande do Norte,1.0,Marketing,Analista Pleno,24.0
1100,Fem,28,pardo,Ensino Superior,Pernambuco,5.0,TI,Analista Pleno,23.0
1101,Masc,55,pardo,Ensino Superior,Roraima,3.0,Desenvolvimento de Produtos,Analista Júnior,52.0
1102,Masc,19,pardo,Mestrado,Pará,4.0,Recursos Humanos,Analista Sênior,15.0
1103,Masc,29,branco,Pós graduação,São Paulo,0.0,TI,Analista Sênior,29.0
1104,Masc,34,pardo,Ensino Superior,São Paulo,8.0,Marketing,Analista Sênior,26.0
1105,Masc,31,pardo,Ensino Superior,Rio Grande do Sul,3.0,Recursos Humanos,Analista Sênior,28.0
1106,Masc,48,preto,Pós graduação,Minas Gerais,7.0,Marketing,Gerente,41.0
1108,Fem,19,amarelo,Ensino Médio,Pernambuco,5.0,Administrativo,Analista Pleno,14.0
1109,Masc,42,preto,Ensino Superior,Amazonas,7.0,Contabilidade,Analista Pleno,35.0
1110,Masc,30,pardo,Mestrado,Amapá,5.0,Operações,Estagiário,25.0
1111,Fem,36,pardo,Doutorado,Rio Grande do Sul,7.0,Contabilidade,Analista Júnior,29.0
1112,Masc,26,branco,Ensino Superior,Rio de Janeiro,4.0,Desenvolvimento de Produtos,Analista Júnior,22.0
1113,Masc,40,branco,Ensino Superior,Pernambuco,7.0,Operações,Analista Pleno,33.0
1114,Masc,25,preto,Mestrado,Mato Grosso,8.0,Compras,Gerente,17.0
1115,Masc,30,pardo,Ensino Superior,Santa Catarina,5.0,TI,Analista Pleno,25.0
1116,Fem,29,pardo,Ensino Superior,Ceará,4.0,Desenvolvimento de Produtos,Analista Sênior,25.0
1117,Masc,29,branco,Ensino Superior,Rio de Janeiro,8.0,Marketing,Analista Pleno,21.0
1118,Fem,33,branco,Ensino Superior,São Paulo,9.0,Contabilidade,Analista Júnior,24.0
1119,Masc,31,preto,Ensino Superior,Piauí,5.0,Contabilidade,Analista Júnior,26.0
1120,Masc,24,pardo,Ensino Superior,Ceará,7.0,Recursos Humanos,Gerente,17.0
1121,Masc,40,pardo,Ensino Superior,Minas Gerais,6.0,Marketing,Estagiário,34.0
1122,Masc,31,branco,Pós graduação,Acre,6.0,Desenvolvimento de Produtos,Analista Sênior,25.0
1123,Fem,25,pardo,Ensino Médio,Goiás,7.0,Compras,Analista Júnior,18.0
1124,Masc,45,branco,Ensino Superior,Mato Grosso do Sul,5.0,TI,Analista Pleno,40.0
1125,Fem,42,pardo,Ensino Superior,Sergipe,5.0,Desenvolvimento de Produtos,Analista Pleno,37.0
1126,Fem,31,pardo,Pós graduação,São Paulo,3.0,Contabilidade,Analista Pleno,28.0
1127,Masc,30,pardo,Pós graduação,Mato Grosso,5.0,Administrativo,Analista Júnior,25.0
1128,Fem,30,pardo,Mestrado,Rio Grande do Sul,9.0,Desenvolvimento de Produtos,Analista Júnior,21.0
1129,Masc,25,pardo,Ensino Superior,Sergipe,7.0,Vendas,Estagiário,18.0
1130,Fem,35,pardo,Ensino Superior,Roraima,0.0,Desenvolvimento de Produtos,Estagiário,35.0
1131,Fem,28,branco,Ensino Médio,Rio de Janeiro,11.0,Desenvolvimento de Produtos,Estagiário,17.0
1132,Fem,28,branco,Pós graduação,Minas Gerais,7.0,Recursos Humanos,Diretor,21.0
1133,Masc,28,branco,Ensino Superior,Alagoas,6.0,TI,Analista Pleno,22.0
1134,Fem,33,branco,Ensino Superior,Rondônia,7.0,Operações,Analista Sênior,26.0
1135,Masc,22,branco,Ensino Superior,Santa Catarina,5.0,Administrativo,Analista Júnior,17.0
1136,Fem,32,branco,Doutorado,São Paulo,4.0,Contabilidade,Analista Júnior,28.0
1137,Masc,39,pardo,Pós graduação,Rio de Janeiro,5.0,Operações,Estagiário,34.0
1138,Masc,20,pardo,Ensino Superior,Mato Grosso,3.0,Recursos Humanos,Analista Júnior,17.0
1139,Masc,20,branco,Ensino Superior,Paraíba,3.0,Recursos Humanos,Analista Júnior,17.0
1140,Masc,38,pardo,Ensino Superior,Santa Catarina,5.0,Desenvolvimento de Produtos,Gerente,33.0
1141,Fem,37,branco,Ensino Superior,Amazonas,8.0,TI,Analista Júnior,29.0
1142,Fem,22,branco,Ensino Superior,Acre,8.0,Marketing,Gerente,14.0
1143,Masc,34,pardo,Ensino Superior,Rondônia,1.0,Vendas,Analista Pleno,33.0
1144,Masc,30,branco,Ensino Superior,São Paulo,5.0,Compras,Analista Sênior,25.0
1145,Masc,39,branco,Mestrado,São Paulo,8.0,Vendas,Gerente,31.0
1146,Fem,41,branco,Mestrado,Paraíba,9.0,Administrativo,Analista Júnior,32.0
1147,Fem,22,branco,Ensino Superior,Paraná,1.0,Administrativo,Estagiário,21.0
1148,Fem,36,preto,Pós graduação,Rio de Janeiro,12.0,Marketing,Gerente,24.0
1149,Masc,22,branco,Ensino Superior,Rio de Janeiro,4.0,Compras,Analista Júnior,18.0
1150,Masc,39,preto,Ensino Superior,Rio de Janeiro,5.0,Marketing,Analista Sênior,34.0
1151,Masc,39,pardo,Ensino Médio,Pernambuco,2.0,Contabilidade,Analista Júnior,37.0
1152,Fem,43,branco,Doutorado,Roraima,3.0,Vendas,Analista Sênior,40.0
1153,Masc,53,pardo,Ensino Superior,Paraná,9.0,Contabilidade,Analista Pleno,44.0
1154,Masc,21,pardo,Doutorado,Paraná,5.0,TI,Analista Júnior,16.0
1155,Masc,24,pardo,Doutorado,Santa Catarina,4.0,Marketing,Analista Pleno,20.0
1156,Masc,30,branco,Ensino Superior,São Paulo,5.0,Marketing,Gerente,25.0
1157,Masc,37,pardo,Doutorado,Bahia,6.0,Vendas,Analista Júnior,31.0
1158,Masc,24,pardo,Ensino Superior,Alagoas,7.0,Desenvolvimento de Produtos,Analista Sênior,17.0
1159,Masc,29,branco,Pós graduação,Paraná,5.0,TI,Gerente,24.0
1160,Masc,40,branco,Ensino Superior,São Paulo,10.0,Contabilidade,Gerente,30.0
1161,Fem,26,pardo,Ensino Superior,Acre,6.0,Recursos Humanos,Gerente,20.0
1162,Fem,24,branco,Ensino Médio,Paraíba,3.0,Contabilidade,Analista Pleno,21.0
1163,Fem,44,pardo,Ensino Superior,Mato Grosso do Sul,9.0,Operações,Analista Pleno,35.0
1164,Masc,22,pardo,Ensino Superior,Rio de Janeiro,2.0,Desenvolvimento de Produtos,Analista Júnior,20.0
1165,Masc,44,branco,Ensino Superior,Pernambuco,5.0,Marketing,Analista Pleno,39.0
1166,Masc,33,preto,Ensino Superior,Mato Grosso do Sul,7.0,Operações,Analista Júnior,26.0
1167,Masc,23,branco,Pós graduação,Rio de Janeiro,4.0,Administrativo,Analista Pleno,19.0
1169,Masc,18,branco,Ensino Superior,Pernambuco,4.0,Administrativo,Gerente,14.0
1170,Masc,39,pardo,Pós graduação,São Paulo,9.0,Operações,Gerente,30.0
1171,Fem,43,preto,Mestrado,Mato Grosso do Sul,7.0,Marketing,Analista Júnior,36.0
1172,Masc,36,branco,Ensino Superior,Rio Grande do Sul,10.0,Marketing,Analista Júnior,26.0
1173,Masc,34,pardo,Ensino Superior,Rondônia,8.0,Marketing,Estagiário,26.0
1174,Masc,26,branco,Doutorado,Roraima,1.0,Desenvolvimento de Produtos,Analista Sênior,25.0
1175,Masc,24,amarelo,Ensino Superior,Amazonas,0.0,Vendas,Analista Júnior,24.0
1176,Fem,39,pardo,Ensino Superior,Goiás,4.0,Operações,Analista Júnior,35.0
1177,Fem,30,pardo,Pós graduação,Sergipe,5.0,Recursos Humanos,Analista Júnior,25.0
1178,Masc,31,branco,Ensino Médio,Rio Grande do Sul,6.0,Compras,Analista Júnior,25.0
1179,Masc,32,pardo,Mestrado,Minas Gerais,9.0,Administrativo,Gerente,23.0
1180,Fem,28,branco,Ensino Superior,Amapá,6.0,TI,Analista Sênior,22.0
1181,Masc,30,pardo,Ensino Superior,Paraná,5.0,Compras,Gerente,25.0
1182,Masc,51,branco,Ensino Superior,Rio de Janeiro,7.0,Desenvolvimento de Produtos,Gerente,44.0
1183,Masc,38,pardo,Ensino Superior,Pará,5.0,Operações,Estagiário,33.0
1184,Masc,31,branco,Pós graduação,Sergipe,6.0,TI,Analista Júnior,25.0
1185,Fem,20,branco,Doutorado,Santa Catarina,4.0,Recursos Humanos,Analista Sênior,16.0
1186,Fem,30,branco,Ensino Superior,Bahia,5.0,TI,Gerente,25.0
1187,Fem,22,preto,Ensino Superior,Distrito Federal,6.0,Marketing,Analista Júnior,16.0
1188,Masc,23,pardo,Ensino Superior,Rio Grande do Norte,7.0,Recursos Humanos,Analista Sênior,16.0
1189,Fem,25,preto,Ensino Superior,Goiás,5.0,Operações,Analista Sênior,20.0
1190,Masc,30,branco,Pós graduação,Pernambuco,5.0,Administrativo,Analista Sênior,25.0
1191,Fem,39,pardo,Ensino Superior,Goiás,6.0,Contabilidade,Analista Pleno,33.0
1192,Masc,20,preto,Ensino Superior,Rio de Janeiro,2.0,Marketing,Gerente,18.0
1193,Masc,31,pardo,Ensino Superior,Santa Catarina,6.0,Desenvolvimento de Produtos,Analista Júnior,25.0
1194,Masc,18,pardo,Doutorado,Rio Grande do Sul,1.0,TI,Analista Sênior,17.0
1195,Masc,34,branco,Ensino Superior,Pará,3.0,Marketing,Analista Júnior,31.0
1196,Fem,21,pardo,Ensino Superior,Rio Grande do Norte,2.0,Operações,Analista Júnior,19.0
1197,Masc,32,preto,Ensino Superior,Pará,14.0,Recursos Humanos,Analista Pleno,18.0
1198,Fem,42,branco,Ensino Superior,Minas Gerais,6.0,Operações,Analista Júnior,36.0
1200,Masc,20,pardo,Ensino Superior,Rondônia,3.0,Desenvolvimento de Produtos,Analista Júnior,17.0
1201,Masc,27,branco,Pós graduação,Santa Catarina,10.0,Compras,Estagiário,17.0
1202,Masc,22,branco,Ensino Superior,Rio Grande do Sul,7.0,Desenvolvimento de Produtos,Analista Pleno,15.0
1203,Masc,25,pardo,Ensino Superior,Roraima,11.0,Operações,Analista Sênior,14.0
1204,Masc,36,pardo,Ensino Superior,Santa Catarina,4.0,TI,Analista Júnior,32.0
1206,Masc,27,branco,Mestrado,Rio de Janeiro,4.0,Contabilidade,Analista Júnior,23.0
1207,Masc,41,pardo,Doutorado,Pernambuco,4.0,Vendas,Analista Júnior,37.0
1208,Masc,31,pardo,Ensino Superior,Tocantins,7.0,Contabilidade,Analista Sênior,24.0
1209,Masc,23,amarelo,Ensino Médio,Goiás,4.0,Recursos Humanos,Analista Pleno,19.0
1210,Masc,30,pardo,Ensino Superior,Maranhão,5.0,Vendas,Analista Júnior,25.0
1211,Masc,26,pardo,Doutorado,São Paulo,2.0,Recursos Humanos,Analista Sênior,24.0
1212,Fem,31,pardo,Pós graduação,Santa Catarina,0.0,TI,Analista Júnior,31.0
1213,Masc,46,branco,Ensino Superior,Acre,5.0,Vendas,Gerente,41.0
1214,Masc,48,pardo,Ensino Médio,Goiás,0.0,Vendas,Analista Pleno,48.0
1216,Fem,33,branco,Ensino Superior,Rio Grande do Norte,3.0,Vendas,Analista Sênior,30.0
1217,Fem,29,pardo,Ensino Superior,Rio Grande do Sul,2.0,Administrativo,Analista Pleno,27.0
1218,Fem,21,branco,Pós graduação,São Paulo,1.0,Recursos Humanos,Analista Júnior,20.0
1219,Masc,44,branco,Pós graduação,Roraima,5.0,Vendas,Analista Sênior,39.0
1220,Masc,34,branco,Ensino Superior,Rio de Janeiro,4.0,Administrativo,Analista Sênior,30.0
1221,Masc,46,branco,Ensino Superior,Ceará,5.0,Recursos Humanos,Analista Sênior,41.0
1222,Fem,29,pardo,Ensino Superior,Rio de Janeiro,7.0,Administrativo,Analista Pleno,22.0
1223,Masc,33,pardo,Mestrado,Goiás,4.0,Recursos Humanos,Gerente,29.0
1224,Fem,38,pardo,Ensino Superior,Paraíba,6.0,Administrativo,Gerente,32.0
1225,Masc,28,pardo,Doutorado,Roraima,3.0,Desenvolvimento de Produtos,Analista Sênior,25.0
1226,Masc,33,pardo,Ensino Superior,Rio Grande do Sul,4.0,Operações,Analista Júnior,29.0
1227,Masc,47,amarelo,Ensino Superior,Paraná,8.0,Marketing,Analista Sênior,39.0
1229,Masc,40,pardo,Ensino Superior,Rondônia,5.0,Marketing,Analista Júnior,35.0
1230,Masc,34,branco,Pós graduação,São Paulo,13.0,TI,Analista Pleno,21.0
1231,Fem,36,pardo,Doutorado,Rio de Janeiro,4.0,Operações,Analista Júnior,32.0
1232,Fem,24,pardo,Pós graduação,Rio Grande do Sul,3.0,Desenvolvimento de Produtos,Gerente,21.0
1233,Masc,51,branco,Ensino Superior,Rio Grande do Sul,7.0,Desenvolvimento de Produtos,Analista Sênior,44.0
1234,Masc,49,pardo,Ensino Superior,Piauí,7.0,Recursos Humanos,Estagiário,42.0
1235,Fem,35,branco,Ensino Superior,Ceará,8.0,Recursos Humanos,Gerente,27.0
1236,Fem,34,pardo,Ensino Superior,Minas Gerais,12.0,Administrativo,Analista Júnior,22.0
1237,Fem,18,pardo,Ensino Superior,Rondônia,1.0,Compras,Analista Pleno,17.0
1238,Fem,47,preto,Ensino Médio,Rio de Janeiro,5.0,Compras,Analista Júnior,42.0
1239,Masc,18,branco,Ensino Superior,Rio de Janeiro,4.0,Contabilidade,Analista Pleno,14.0
1240,Fem,35,pardo,Ensino Superior,Pará,6.0,Vendas,Analista Júnior,29.0
1241,Masc,25,pardo,Ensino Superior,Ceará,5.0,Recursos Humanos,Analista Pleno,20.0
1242,Fem,42,pardo,Pós graduação,Bahia,5.0,Contabilidade,Analista Pleno,37.0
1243,Fem,24,pardo,Mestrado,Paraná,9.0,Operações,Analista Pleno,15.0
1244,Fem,27,pardo,Pós graduação,Goiás,3.0,Operações,Analista Sênior,24.0
1245,Masc,43,branco,Doutorado,Ceará,3.0,Marketing,Analista Sênior,40.0
1246,Masc,37,pardo,Doutorado,Paraíba,7.0,Operações,Gerente,30.0
1247,Masc,28,branco,Ensino Superior,Acre,5.0,Compras,Analista Júnior,23.0
1248,Fem,45,pardo,Ensino Superior,Paraná,6.0,Desenvolvimento de Produtos,Analista Júnior,39.0
1249,Masc,35,branco,Ensino Superior,Rio de Janeiro,6.0,Compras,Analista Pleno,29.0
1250,Masc,24,branco,Ensino Médio,Mato Grosso,3.0,Marketing,Analista Sênior,21.0
1251,Masc,36,pardo,Mestrado,Sergipe,4.0,Marketing,Gerente,32.0
1252,Masc,35,pardo,Doutorado,Amazonas,8.0,Vendas,Gerente,27.0
1253,Masc,32,pardo,Ensino Superior,Paraná,8.0,TI,Analista Júnior,24.0
1254,Masc,27,branco,Ensino Superior,Minas Gerais,2.0,Recursos Humanos,Gerente,25.0
1255,Masc,34,pardo,Ensino Superior,Santa Catarina,10.0,Recursos Humanos,Analista Pleno,24.0
1256,Masc,22,pardo,Ensino Superior,Minas Gerais,2.0,Compras,Analista Júnior,20.0
1257,Masc,27,pardo,Ensino Superior,São Paulo,9.0,Contabilidade,Analista Júnior,18.0
1258,Masc,40,branco,Doutorado,Goiás,0.0,Vendas,Analista Pleno,40.0
1259,Fem,27,pardo,Ensino Superior,Rio Grande do Sul,5.0,Recursos Humanos,Analista Júnior,22.0
1260,Masc,22,branco,Ensino Superior,Piauí,8.0,Compras,Analista Pleno,14.0
1261,Masc,30,pardo,Ensino Superior,Amazonas,7.0,Contabilidade,Analista Júnior,23.0
1262,Masc,26,pardo,Ensino Superior,São Paulo,0.0,Marketing,Analista Júnior,26.0
1263,Fem,53,branco,Ensino Superior,Santa Catarina,5.0,Operações,Analista Júnior,48.0
1264,Masc,49,pardo,Doutorado,Mato Grosso,7.0,Contabilidade,Analista Sênior,42.0
1265,Masc,27,branco,Doutorado,Mato Grosso,6.0,Compras,Analista Sênior,21.0
1266,Masc,36,pardo,Ensino Superior,Rio de Janeiro,11.0,Operações,Gerente,25.0
1267,Masc,24,preto,Doutorado,Rio de Janeiro,4.0,Operações,Analista Sênior,20.0
1269,Fem,40,branco,Ensino Médio,Acre,8.0,Contabilidade,Analista Sênior,32.0
1270,Fem,21,pardo,Mestrado,Espírito Santo,7.0,Desenvolvimento de Produtos,Gerente,14.0
1271,Masc,32,pardo,Pós graduação,Rio Grande do Sul,7.0,Operações,Analista Júnior,25.0
1272,Masc,22,pardo,Ensino Superior,Ceará,1.0,Desenvolvimento de Produtos,Analista Pleno,21.0
1273,Masc,29,branco,Ensino Superior,Ceará,7.0,Marketing,Analista Júnior,22.0
1274,Masc,33,branco,Ensino Superior,Mato Grosso do Sul,8.0,Marketing,Analista Pleno,25.0
1275,Masc,28,branco,Ensino Superior,Santa Catarina,2.0,Operações,Analista Sênior,26.0
1276,Fem,36,branco,Ensino Superior,Rio de Janeiro,10.0,Administrativo,Analista Júnior,26.0
1277,Masc,31,branco,Ensino Superior,Pernambuco,2.0,TI,Analista Pleno,29.0
1278,Masc,30,pardo,Doutorado,Paraná,5.0,Contabilidade,Analista Júnior,25.0
1279,Masc,23,branco,Pós graduação,Maranhão,6.0,Marketing,Analista Júnior,17.0
1280,Masc,25,branco,Ensino Superior,Rio de Janeiro,1.0,Administrativo,Analista Pleno,24.0
1281,Masc,20,branco,Ensino Superior,Piauí,4.0,Marketing,Analista Sênior,16.0
1282,Masc,38,pardo,Pós graduação,Maranhão,1.0,Administrativo,Analista Pleno,37.0
1283,Masc,31,pardo,Doutorado,Paraná,8.0,Marketing,Analista Júnior,23.0
1284,Masc,36,pardo,Ensino Superior,Rio Grande do Norte,10.0,Contabilidade,Analista Sênior,26.0
1285,Masc,30,branco,Ensino Superior,Minas Gerais,5.0,Operações,Analista Sênior,25.0
1286,Masc,24,pardo,Pós graduação,São Paulo,3.0,TI,Estagiário,21.0
1287,Fem,19,branco,Mestrado,Rio Grande do Sul,2.0,Contabilidade,Analista Sênior,17.0
1288,Masc,30,branco,Ensino Superior,Rio de Janeiro,5.0,Marketing,Analista Sênior,25.0
1289,Masc,35,branco,Ensino Superior,São Paulo,3.0,Operações,Analista Sênior,32.0
1290,Fem,33,pardo,Pós graduação,Espírito Santo,5.0,Operações,Analista Pleno,28.0
1291,Fem,30,preto,Ensino Superior,Rio Grande do Norte,5.0,Recursos Humanos,Analista Sênior,25.0
1292,Masc,24,pardo,Ensino Superior,Rondônia,2.0,Vendas,Estagiário,22.0
1293,Fem,22,branco,Ensino Superior,Pernambuco,6.0,Administrativo,Analista Sênior,16.0
1294,Masc,23,pardo,Mestrado,Rio Grande do Sul,6.0,Compras,Analista Júnior,17.0
1295,Masc,43,branco,Mestrado,Tocantins,9.0,Operações,Analista Júnior,34.0
1296,Masc,29,branco,Ensino Superior,Rio Grande do Norte,5.0,Operações,Estagiário,24.0
1297,Masc,34,pardo,Mestrado,Roraima,9.0,Vendas,Analista Pleno,25.0
1298,Masc,27,preto,Pós graduação,Amazonas,0.0,Marketing,Analista Sênior,27.0
1299,Masc,20,preto,Mestrado,Alagoas,3.0,Compras,Analista Pleno,17.0
1300,Masc,21,branco,Ensino Superior,Roraima,2.0,Operações,Analista Sênior,19.0
1301,Masc,36,pardo,Ensino Superior,Pará,8.0,Recursos Humanos,Analista Pleno,28.0
1302,Masc,29,pardo,Ensino Superior,Amazonas,8.0,Operações,Analista Júnior,21.0
1303,Masc,43,pardo,Pós graduação,Alagoas,8.0,Operações,Estagiário,35.0
1304,Fem,31,branco,Ensino Superior,Santa Catarina,6.0,Administrativo,Analista Sênior,25.0
1305,Masc,23,pardo,Ensino Médio,Santa Catarina,4.0,Administrativo,Analista Sênior,19.0
1306,Masc,44,branco,Ensino Superior,São Paulo,7.0,Recursos Humanos,Analista Sênior,37.0
1308,Masc,30,pardo,Ensino Superior,Piauí,5.0,Desenvolvimento de Produtos,Estagiário,25.0
1309,Masc,25,pardo,Mestrado,São Paulo,10.0,Desenvolvimento de Produtos,Analista Pleno,15.0
1310,Masc,31,pardo,Ensino Superior,Amapá,4.0,Operações,Analista Júnior,27.0
1311,Masc,29,branco,Pós graduação,Amazonas,10.0,Vendas,Analista Pleno,19.0
1312,Fem,36,branco,Mestrado,Tocantins,8.0,Marketing,Estagiário,28.0
1313,Masc,21,preto,Pós graduação,Paraíba,6.0,TI,Analista Pleno,15.0
1314,Fem,34,preto,Ensino Superior,Amapá,9.0,Vendas,Analista Pleno,25.0
1315,Masc,27,branco,Pós graduação,Rio Grande do Sul,8.0,Administrativo,Analista Pleno,19.0
1316,Fem,27,branco,Ensino Superior,Rio de Janeiro,6.0,Contabilidade,Estagiário,21.0
1317,Masc,29,branco,Ensino Superior,Rio de Janeiro,2.0,Compras,Analista Pleno,27.0
1318,Masc,48,preto,Ensino Superior,Maranhão,8.0,Administrativo,Analista Júnior,40.0
1319,Masc,21,branco,Ensino Superior,Rio Grande do Sul,5.0,Recursos Humanos,Analista Sênior,16.0
1320,Masc,28,pardo,Mestrado,Mato Grosso do Sul,6.0,Marketing,Analista Pleno,22.0
1321,Masc,33,branco,Pós graduação,Tocantins,3.0,Contabilidade,Analista Pleno,30.0
1322,Masc,32,branco,Mestrado,Amazonas,9.0,Recursos Humanos,Analista Pleno,23.0
1323,Masc,28,pardo,Ensino Superior,Paraná,9.0,Recursos Humanos,Gerente,19.0
1324,Masc,42,pardo,Ensino Superior,São Paulo,7.0,Administrativo,Gerente,35.0
1325,Masc,33,branco,Ensino Superior,Sergipe,0.0,TI,Gerente,33.0
1326,Masc,27,pardo,Ensino Superior,Mato Grosso do Sul,7.0,TI,Analista Júnior,20.0
1327,Fem,34,pardo,Ensino Superior,Distrito Federal,8.0,Desenvolvimento de Produtos,Analista Pleno,26.0
1328,Fem,31,branco,Ensino Superior,Pará,4.0,Administrativo,Analista Sênior,27.0
1329,Fem,39,preto,Ensino Superior,Pernambuco,4.0,Desenvolvimento de Produtos,Estagiário,35.0
1330,Fem,21,preto,Mestrado,Amapá,5.0,Vendas,Gerente,16.0
1331,Masc,28,branco,Mestrado,Santa Catarina,12.0,Administrativo,Analista Pleno,16.0
1332,Masc,29,preto,Pós graduação,Bahia,5.0,TI,Gerente,24.0
1333,Masc,40,branco,Ensino Superior,Rio de Janeiro,4.0,Compras,Analista Pleno,36.0
1334,Masc,33,branco,Mestrado,São Paulo,10.0,TI,Analista Júnior,23.0
1335,Fem,33,branco,Doutorado,Maranhão,4.0,Administrativo,Analista Pleno,29.0
1336,Masc,40,pardo,Doutorado,Minas Gerais,7.0,Desenvolvimento de Produtos,Estagiário,33.0
1337,Masc,39,pardo,Ensino Superior,Maranhão,5.0,Marketing,Gerente,34.0
1338,Masc,35,branco,Ensino Superior,Rio de Janeiro,12.0,Vendas,Analista Pleno,23.0
1339,Masc,29,branco,Mestrado,Pernambuco,12.0,Marketing,Analista Júnior,17.0
1340,Masc,40,branco,Pós graduação,Santa Catarina,11.0,Compras,Analista Pleno,29.0
1341,Masc,30,pardo,Ensino Superior,Pernambuco,8.0,Recursos Humanos,Analista Júnior,22.0
1342,Fem,25,pardo,Doutorado,Rio de Janeiro,2.0,Vendas,Analista Sênior,23.0
1343,Fem,20,pardo,Ensino Superior,Rio Grande do Norte,4.0,TI,Gerente,16.0
1344,Masc,19,pardo,Ensino Superior,Mato Grosso do Sul,5.0,Vendas,Gerente,14.0
1345,Fem,24,preto,Ensino Superior,São Paulo,3.0,Recursos Humanos,Estagiário,21.0
1346,Fem,38,branco,Ensino Superior,Bahia,7.0,Marketing,Analista Sênior,31.0
1347,Masc,22,branco,Pós graduação,Distrito Federal,4.0,Vendas,Analista Sênior,18.0
1348,Masc,30,branco,Ensino Superior,Rondônia,5.0,Contabilidade,Analista Pleno,25.0
1349,Masc,47,branco,Pós graduação,Rio de Janeiro,0.0,Administrativo,Gerente,47.0
1350,Masc,35,preto,Pós graduação,Mato Grosso do Sul,1.0,Recursos Humanos,Analista Sênior,34.0
1351,Masc,23,pardo,Pós graduação,Bahia,4.0,Operações,Analista Júnior,19.0
1352,Masc,27,preto,Mestrado,Rio Grande do Norte,4.0,Recursos Humanos,Analista Júnior,23.0
1353,Masc,36,pardo,Ensino Superior,Amapá,10.0,Desenvolvimento de Produtos,Analista Júnior,26.0
1354,Masc,31,branco,Pós graduação,Maranhão,2.0,Compras,Analista Sênior,29.0
1356,Masc,32,branco,Ensino Superior,Paraná,0.0,Contabilidade,Analista Pleno,32.0
1357,Masc,19,pardo,Pós graduação,Rio Grande do Sul,2.0,TI,Analista Júnior,17.0
1358,Fem,34,branco,Ensino Superior,São Paulo,4.0,Contabilidade,Analista Pleno,30.0
1359,Masc,40,pardo,Ensino Superior,Mato Grosso,4.0,Operações,Gerente,36.0
1360,Masc,38,pardo,Ensino Superior,São Paulo,3.0,Marketing,Analista Sênior,35.0
1361,Fem,24,branco,Ensino Médio,Rio Grande do Sul,10.0,Vendas,Analista Sênior,14.0
1362,Masc,25,pardo,Mestrado,Paraná,2.0,Desenvolvimento de Produtos,Gerente,23.0
1364,Masc,32,pardo,Ensino Médio,Rio de Janeiro,6.0,Contabilidade,Analista Júnior,26.0
